County,crash_yr,mo,Crash Hr,Vehicles Involved,Crash Severity,Serious Injury Event,No Seat Belt,Truck Involved,Speeding/Too Fast for Conditions,Impaired Driver,Failure to Yield,Snow/Sleet,Rollover,Intersection,Curve,Hill,Lane Departure,LAT,LON
Burleigh,2013,1,16,2,Injury,0,0,0,0,0,0,0,0,1,0,0,0,46.8053,-100.779
Morton,2013,1,18,1,Injury,0,0,0,0,0,0,1,1,0,0,1,1,46.8665,-101.943
Cass,2013,1,17,2,Injury,0,0,0,0,0,1,0,0,1,0,0,0,46.9048,-96.798
Cass,2013,1,0,3,Injury,0,0,0,0,0,0,0,0,1,0,0,0,46.8832,-96.82
Stutsman,2013,1,1,2,Injury,0,0,0,0,0,1,0,0,1,0,0,0,46.9107,-98.704
Burleigh,2013,1,4,1,Injury,0,0,0,0,1,0,0,0,0,0,0,0,47.0462,-100.792
Ramsey,2013,1,22,1,Injury,0,1,0,1,1,0,1,1,0,1,0,1,48.1226,-99.018
Williams,2013,1,0,1,Injury,0,0,0,0,1,0,0,1,0,0,1,1,48.2194,-103.625
Morton,2013,1,0,2,Fatal,1,1,0,0,1,0,0,0,0,0,0,0,46.9343,-101.434
Dunn,2013,1,21,2,Injury,0,0,0,0,1,0,0,0,0,0,1,0,47.2382,-102.77
Cass,2013,1,0,3,Injury,0,0,0,0,0,0,0,0,1,0,0,0,46.8832,-96.82
Mercer,2013,1,8,1,Injury,0,1,0,1,0,0,0,1,0,0,1,1,47.2991,-101.748
Benson,2013,1,1,1,Injury,0,0,0,0,1,0,0,0,0,0,0,1,48.33,-99.697
Williams,2013,1,19,1,Injury,0,1,0,0,0,0,0,0,1,1,0,0,48.153,-103.431
Bottineau,2013,1,6,1,Injury,0,.,0,1,1,0,0,1,0,1,0,0,48.732,-100.336
Morton,2013,1,1,1,Injury,0,.,0,0,1,0,1,0,1,0,0,1,46.8259,-100.905
Morton,2013,1,2,2,Injury,0,0,0,1,0,0,0,0,1,0,0,0,46.8276,-100.881
Morton,2013,1,17,2,Injury,1,0,0,0,1,0,0,0,0,0,1,0,46.808,-100.827
Stark,2013,1,7,2,Injury,0,1,0,0,0,0,1,0,1,0,0,0,46.9197,-102.79
